Doble Grado en Matemáticas + Física;Universidad Complutense de Madrid;Madrid;13,667;5,0 
Doble Grado en Matemáticas + Física;Universidade de Santiago de Compostela;A Coruña;13,356;5,0 
Doble Grado en Física + Matemáticas;Universitat Autònoma de Barcelona;Barcelona;13,310;5,0 
Doble Grado en Ingeniería Informática + Matemáticas;Universidad Complutense de Madrid;Madrid;13,264;5,0 
Doble Grado en Física + Matemáticas;Universidad de Zaragoza;Zaragoza;13,254;5,0 
Doble Grado en Estudios Internacionales + Derecho ;Universidad Carlos III de Madrid;Madrid;13,250;5,0 
Doble Grado en Estudios Internacionales + Administración de Empresas ;Universidad Carlos III de Madrid;Madrid;13,186;5,0 
Programa de Estudios Conjunto de Grado en Matemáticas + Grado en Física;Universidad de Valladolid;Valladolid;13,171;5,0 
Doble Grado en Matemáticas + Física;Universidad de Granada;Granada;13,164;5,0 
Grado en Medicina;Universidad Autónoma de Madrid;Madrid;13,110;6,0 
Doble Grado en Física +  Matemáticas;Universidad de Sevilla;Sevilla;13,090;5,0 
Doble Grado en Matemáticas + Física;Universitat de Barcelona;Barcelona;13,067;5,0 
Doble Grado en Derecho + Relaciones Internacionales;Universidad Rey Juan Carlos;Madrid;13,032;5,0 
Doble Grado en Física + Matemáticas;Universidad de Cantabria;Cantabria;13,016;5,0 
Doble Grado en Estudios Internacionales + Economía;Universidad Carlos III de Madrid;Madrid;12,999;5,0 
Grado en Medicina;Universitat de València;Valencia;12,990;6,0 
Doble Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto + Ingeniería Mecánica;Universidad Politécnica de Madrid;Madrid;12,950;5,0 
Doble Grado en Comunicación Audiovisual + Periodismo;Universidade de Santiago de Compostela;A Coruña;12,942; 
Doble Grado en Ingeniería Informática + Matemáticas;Universidad Autónoma de Madrid;Madrid;12,926;5,0 
Doble Grado en Relaciones Internacionales + Periodismo;Universidad Rey Juan Carlos;Madrid;12,923;5,0 
Doble Grado en Traducción e Interpretación: Inglés-Alemán + Grado en Traducción e Interpretación: Inglés-Francés;Universidad de Las Palmas de Gran Canaria;Las Palmas;12,893;5,0 
Doble Grado en Física + Ingeniería Electrónica;Universidad del País Vasco;Vizcaya;12,882;5,0 
Grado en Medicina;Universidad Complutense de Madrid;Madrid;12,871;6,0 
Doble Grado en Relaciones Internacionales (inglés) + Protocolo y Organización de Eventos;Universidad Rey Juan Carlos;Madrid;12,858;5,0 
Grado en Medicina;Universidad Miguel Hernández de Elche;Alicante;12,851;6,0 
Grado en Medicina;Universidad de Murcia;Murcia;12,819;6,0 
